"Unclaimed Baggage Center","One person's lost luggage is another person's treasure."," Alabama","Scottsboro","34.6732","-86.0446","2465","/places/unclaimed-baggage-center"
"Spectre Set Ruins","The remains of a fairytale small town built for the film ""Big Fish"" still stand around a rundown main street."," Alabama","Millbrook","32.448","-86.3316","10833","/places/spectre-set-ruins"
"Neversink Pit","This natural wonder drops 16 stories straight down through rare flora and streaming waterfalls."," Alabama","Fackler","34.8373","-86.0088","20568","/places/neversink-pit"
"Alabama's Natural Bridge","148-foot-long natural rock bridge!"," Alabama","Natural Bridge","34.0895","-87.6001","4092","/places/natural-bridge"
"The Museum Of Wonder","A former taxidermist has turned his old shop into a folk art mecca."," Alabama","Seale","32.3193","-85.1649","10484","/places/the-museum-of-wonder-seale-alabama"
"The Drive-Thru Museum","A wealth of local folk art, antiques, and curios, without ever leaving your car."," Alabama","Seale","32.3293","-85.1682","21104","/places/the-drivethru-museum-seale-alabama"
"Dismals Canyon","Famous for its bio-luminescent inhabitants, known as ""Dismalites"" ."," Alabama","Phil Campbell","34.3286","-87.78","1955","/places/dismals-canyon"
"Alabama Booksmith","Every last book in this bookstore is signed by the author."," Alabama","Homewood","33.4839","-86.7888","14509","/places/alabama-booksmith"
"F. Scott and Zelda Fitzgerald Museum","The former home of the hard partying literary power couple is now one of the only museums devoted to their story."," Alabama","Montgomery","32.3587","-86.2924","10890","/places/f-scott-and-zelda-fitzgerald-museum"
"Tinglewood Carvings","Orr Park's dead trees have been carved into a menagerie of whimsical visages."," Alabama","Montevallo","33.0978","-86.8565","16166","/places/tinglewood-carvings"
"Cheaha Mountain","The highest point in Alabama was almost completely deforested, but is now home to protected towers and trees."," Alabama","Delta","33.4857","-85.8091","10853","/places/cheaha-mountain"
"Africatown","This tiny Alabama town was founded by the last known people smuggled into the US as slaves."," Alabama","Mobile","30.7321","-88.0608","13037","/places/africatown"
"Frank Lloyd Wright-Rosenbaum House","This architectural triumph is the only Frank Lloyd Wright house in Alabama."," Alabama","Florence","34.793","-87.6805","14656","/places/rosenbaum-house"
"Goldie 1971 - The Fallen Robot","A rusted metal giant pays tribute to Birmingham’s industrial past."," Alabama","Tuscaloosa","33.213","-87.5456","18210","/places/goldie-1971-the-fallen-robot"
"Dead Children's Playground","What else would you call a playground hidden in Alabama's oldest and largest cemetery?"," Alabama","Huntsville","34.7315","-86.5652","13689","/places/dead-children-s-playground-2"
"Ave Maria Grotto","A miniature city built by a single hunchbacked monk."," Alabama","Cullman","34.1753","-86.8165","140","/places/ave-maria-grotto"
"Bamahenge","Alabama has a fiberglass Stonehenge—and with apologies to Spinal Tap, this one is full-size."," Alabama","Elberta","30.3315","-87.5666","16561","/places/bamahenge"
"The Grave of Miss Baker","Bananas are often left for the first monkey America ever recovered alive after being launched into space."," Alabama","Huntsville","34.7121","-86.6504","12214","/places/the-grave-of-miss-baker-huntsville-alabama"
"Moundville Archaeological Site","A collection of huge Pre-Colombian structures in Alabama."," Alabama","Moundville","33.0027","-87.628","14905","/places/moundville-archaeological-site"
"Sloss Furnaces","Once one of the largest producers of pig iron in the world."," Alabama","Birmingham","33.5205","-86.7916","3197","/places/sloss-furnaces"
"Hank Williams' Death Car","Cadillac where country's first big star was found dead."," Alabama","Montgomery","32.3793","-86.3109","3198","/places/hank-williams-death-car"
"Civil Rights Memorial","Designed by Maya Lin, the memorial honors 40 individuals who died fighting for equal rights between 1954 and 1968."," Alabama","Montgomery","32.3763","-86.3033","2858","/places/civil-rights-memorial"
"Tolstoy Park, the Unusual Home of Henry Stuart","This small hut in the middle of a parking lot was once the wooded sanctuary of the 'Hermit of Montrose.'"," Alabama","Fairhope","30.5566","-87.8942","20271","/places/tolstoy-park-the-unusual-home-of-henry-stuart"
"Museum of Fond Memories at Reed Books","A unique book shop with a collection of rare tomes and a nostalgia museum."," Alabama","Birmingham","33.5165","-86.8058","21503","/places/museum-of-fond-memories-at-reed-books"
"Berman Museum of World History","A strange history museum, with items accumulated by a pair of globe trotting spies."," Alabama","Anniston","33.6949","-85.8191","147","/places/berman-museum-world-history"
"Holmes Medical Museum","Tucked away atop a quaint Alabama pharmacy is this tiny display of antique medical tools."," Alabama","Foley","30.4064","-87.6846","12859","/places/holmes-medical-museum"
"Statue of Vulcan","A 58-foot tall statue of the god of fire looks out over Birmingham, Alabama."," Alabama","Birmingham","33.4918","-86.7955","236","/places/statue-vulcan"
"The Gigantic Chair of Anniston","What Better Place to Take a Seat?"," Alabama","Anniston","33.6526","-85.8295","912","/places/worlds-largest-chair"
"The Oaks","Booker T. Washington's home at the Tuskegee Institute was a gem of splendor."," Alabama","Tuskegee","32.4283","-85.7091","15452","/places/the-oaks-tuskegee-alabama"
"Anniston Museum","A natural history museum with an extensive collection of bird dioramas."," Alabama","Anniston","33.6961","-85.8158","135","/places/anniston-museum-natural-history"
"Red Mountain Park","1500-acre development hopes to be the Central Park of the south."," Alabama","Birmingham","33.4445","-86.8614","3008","/places/red-mountain-park"
"The Tree That Owns Itself","An autonomous oak in Alabama."," Alabama","Eufaula","31.8987","-85.1461","20852","/places/the-tree-that-owns-itself-eufaula-alabama"
"Henry Wells' Lightning Portrait","The terrified face of Henry Wells is etched on this garret window."," Alabama","Carrollton","33.2618","-88.095","3199","/places/henry-wells-lightning-portrait"
"Mobile Medical Museum","Medical museum featuring a number of excellent medical models."," Alabama","Mobile","30.6925","-88.0776","164","/places/mobile-medical-museum"
"The Hodges Meteorite","This space rock fragment is one of the only meteors to have ever struck a human."," Alabama","Tuscaloosa","33.2119","-87.5439","12938","/places/the-hodges-meteorite-tuscaloosa-alabama"
"Little Nadine Earles Doll House Grave","Inside this small brick bungalow is a collection of toys intended for the afterlife."," Alabama","Lanett","32.87","-85.2027","21417","/places/little-nadine-earles-doll-house-grave-lanett"
"Hank Williams's Gravesite","The country music legend's grave is surrounded by Astroturf because fans kept plucking out the grass."," Alabama","Montgomery","32.3854","-86.2911","21101","/places/hank-williamss-gravesite"
"African Village in America","Joe Minter is only doing the work of God in his yard, he says."," Alabama","Birmingham","33.4758","-86.8431","3201","/places/african-village-in-america"
"Boll Weevil Monument","Monument to the cotton-destroying boll weevil."," Alabama","Enterprise","31.3144","-85.8539","1828","/places/boll-weevil-monument"
"Wichahpi Commemorative Stone Wall","The longest un-mortared wall in the U.S. is one man's tribute to his displaced Yuchi ancestor's 5-year journey back to her homeland."," Alabama","Florence","34.9455","-87.8188","20410","/places/wichahpi-commemorative-stone-wall"
"Key Underwood Coon Dog Cemetery","A cemetery for only coon hounds in northeast Alabama."," Alabama","Cherokee","34.6465","-87.9784","3954","/places/key-underwood-coon-dog-cemetery-in-cherokee-alabama"
"K’REX","This 12-foot-tall T-rex is the largest K’Nex skeleton sculpture in the world."," Alabama","Huntsville","34.7111","-86.6539","25860","/places/krex"
"Peanuts on Parade","Dothan, Alabama has been invaded by scores of anthropomorphic peanuts."," Alabama","Dothan","31.2232","-85.3905","15940","/places/peanuts-on-parade"
"Monument to Lady-Whacking Meteorite","Abstract marble carving for an 8.5-pound rock."," Alabama","Sylacauga","33.1719","-86.2511","3196","/places/monument-to-lady-whacking-meteorite"
"Capitol Park","These ruins are all that's left of the former Alabama State Capitol."," Alabama","Tuscaloosa","33.207","-87.5753","27333","/places/capitol-park"
"Spear Hunting Museum","Founded by a man who calls himself the greatest living hunter."," Alabama","Summerdale","30.5193","-87.7084","3200","/places/spear-hunting-museum"
"Memorial to Leroy Brown","That bass was as bad a fish as any angler ever knew."," Alabama","Eufaula","31.893","-85.1405","20815","/places/memorial-to-leroy-brown"
"Casket on the Steiner-Lobman Building","The whimsical construction on the roof has given rise to many a Montgomery myth about its contents."," Alabama","Montgomery","32.3802","-86.3118","20084","/places/casket-on-the-steiner-lobman-building"
"MPTA-098","A propulsion engine testbed that paved the way for the Space Shuttle launch sits without recognition at this rocket center."," Alabama","Huntsville","34.7102","-86.652","25859","/places/mpta098"
"Pathfinder and the MPTA-ET","It may look like no more than a full-scale model, but every part of this full Space Shuttle stack had a working role in aviation history."," Alabama","Huntsville","34.7108","-86.6528","25858","/places/pathfinder-and-the-mptaet"
"National Memorial for Peace and Justice","Colloquially known as ""the lynching museum,"" this is the United States' first memorial to the victims of racial terror at home."," Alabama","Montgomery","32.38","-86.3102","28833","/places/national-memorial-for-peace-and-justice"
"Auburn War Eagle","Auburn's iconic eagle flight goes back to a 19th century eagle that dropped dead on the field after inspiring the football team to victory."," Alabama","Auburn","32.6006","-85.4865","2511","/places/auburn-war-eagle"
,,,,"0.0","0.0",,
"Mendenhall Ice Caves","Breathtakingly blue walls shimmer inside the ""Glacier Behind the Town."""," Alaska","Juneau","58.4958","-134.5322","9368","/places/mendenhall-ice-caves"
"Aurora Ice Museum","Mind-blowing carvings and fantasy ice scenes grace the largest year-round ice environment in the world."," Alaska","Fairbanks","64.8738","-147.1421","4809","/places/aurora-ice-museum"
"Denali","The king of US high points towers over every other peak in North America."," Alaska","Denali National Park and Preserve","63.7366","-148.8975","11655","/places/denali"
"Dr. Seuss House aka The Goose Creek Tower","This whimsical stacked cabin looks like something out of a children's book."," Alaska","Wasilla","61.7717","-149.9911","13437","/places/dr-seuss-house-aka-the-goose-creek-tower"
"The Upside-Down Forest of Glacier Gardens","Upside-down trees serve as natural flower pots in this hanging garden of Alaska."," Alaska","Juneau","58.36","-134.5482","1666","/places/the-upsidedown-forest-of-glacier-gardens"
"Guyot Glacier Ice Caves","Gorgeous cave resemble a winter wonderland."," Alaska","Yakutat","60.1758","-141.6522","8082","/places/guyot-glacier-ice-caves"
"Kennicott Ghost Town","What once was the richest known copper mine is now a completely deserted ghost town."," Alaska","Chitina","61.4861","-142.8886","17638","/places/kennicott-ghost-town"
"Permafrost Tunnel","This frozen tunnel in central Alaska is both an engineering feat and a valuable climate classroom."," Alaska","Fairbanks","64.9511","-147.6245","18947","/places/permafrost-tunnel"
"Santa Claus House","Trading post in North Pole where children send letters."," Alaska","North Pole","64.7552","-147.3445","3204","/places/santa-claus-house"
"Lady of the Lake","An abandoned aircraft sits submerged in a lake in the Alaskan wilderness."," Alaska","North Pole","64.7049","-147.1318","8678","/places/lady-of-the-lake"
"Igloo City","Four-story concrete hotel never opened to customers."," Alaska","Cantwell","63.2453","-149.2499","3203","/places/igloo-city"
"Mendenhall Glacier","A rare chance to get up close and personal with a 13-mile ribbon of ice near downtown Juneau."," Alaska","Juneau","58.4337","-134.5539","17484","/places/mendenhall-glacier"
"Treadwell Ruins","The ruins of this Alaskan gold mine form a gorgeous ghost town."," Alaska","Juneau","58.2706","-134.3794","15930","/places/treadwell-ruins"
"Burial Spirit Houses","Colorful boxes placed over the dead are left to rot and crumble."," Alaska","Anchorage","61.457","-149.3638","3260","/places/burial-spirit-houses"
"Buckner Building","This WWII-era military installation once held an entire city within its walls - now, its walls are falling down."," Alaska","Whittier","60.7747","-148.6752","6361","/places/buckner-building-2"
"Aurora Express Bed & Breakfast","One woman's dream became a train hotel in her backyard."," Alaska","Fairbanks","64.7978","-147.9894","16692","/places/aurora-express-bed-breakfast"
"Ukivok","This ghostly Alaskan village still clings to a steep cliffside despite having been abandoned for over 50 years."," Alaska","Nome","64.972","-168.0607","11684","/places/ukivok"
"Worlds Largest Chocolate Waterfall","While not recognized by Guinness, this chocolate waterfall is likely to be the world's largest."," Alaska","Anchorage","61.173","-149.8626","8663","/places/worlds-largest-chocolate-waterfall"
"Whittier, Alaska","This small city where almost everyone lives in the same building can only be reached via North America's longest tunnel."," Alaska","Whittier","60.7731","-148.6839","11861","/places/whittier-alaska"
"H.A.A.R.P.","An auroral research program that superheats the ionosphere."," Alaska","Gakona","62.3927","-145.1476","435","/places/haarp"
"Great Kobuk Sand Dunes","The massive mounds of golden sand look like a desert landscape randomly plopped in an Arctic forest."," Alaska","Northwest Arctic","67.0539","-158.9306","25028","/places/great-kobuk-sand-dunes"
